rs10	1	-0.49565	0.020602	0.057668	0.18063	0.17976	0.05808	-0.084899	0.070694	-0.01421
rs80	-0.49565	1	0.33411	0.22915	-0.18786	-0.18807	0.2224	0.36395	0.12573	0.058618
rs140	0.020602	0.33411	1	0.57013	-0.19511	-0.19665	0.56471	0.69499	0.024369	-0.1122
rs170	0.057668	0.22915	0.57013	1	0.40757	0.407	0.99342	0.53812	0.14115	0.04917
rs172	0.18063	-0.18786	-0.19511	0.40757	1	0.99975	0.40999	-0.47816	-0.066652	-0.061576
rs174	0.17976	-0.18807	-0.19665	0.407	0.99975	1	0.40947	-0.47948	-0.067084	-0.062496
rs176	0.05808	0.2224	0.56471	0.99342	0.40999	0.40947	1	0.53445	0.14128	0.051131
rs178	-0.084899	0.36395	0.69499	0.53812	-0.47816	-0.47948	0.53445	1	0.18007	0.095807
rs180	0.070694	0.12573	0.024369	0.14115	-0.066652	-0.067084	0.14128	0.18007	1	0.68263
rs200	-0.01421	0.058618	-0.1122	0.04917	-0.061576	-0.062496	0.051131	0.095807	0.68263	1
